country,url
Afghanistan,country/afghanistan/
Albania,country/albania/
Algeria,country/algeria/
Andorra,country/andorra/
Angola,country/angola/
Anguilla,country/anguilla/
Antigua and Barbuda,country/antigua-and-barbuda/
Argentina,country/argentina/
Armenia,country/armenia/
Aruba,country/aruba/
Australia,country/australia/
Austria,country/austria/
Azerbaijan,country/azerbaijan/
Bahamas,country/bahamas/
Bahrain,country/bahrain/
Bangladesh,country/bangladesh/
Barbados,country/barbados/
Belarus,country/belarus/
Belgium,country/belgium/
Belize,country/belize/
Benin,country/benin/
Bermuda,country/bermuda/
Bhutan,country/bhutan/
Bolivia,country/bolivia/
Bosnia and Herzegovina,country/bosnia-and-herzegovina/
Botswana,country/botswana/
Brazil,country/brazil/
British Virgin Islands,country/british-virgin-islands/
Brunei ,country/brunei-darussalam/
Bulgaria,country/bulgaria/
Burkina Faso,country/burkina-faso/
Burundi,country/burundi/
Cabo Verde,country/cabo-verde/
Cambodia,country/cambodia/
Cameroon,country/cameroon/
Canada,country/canada/
CAR,country/central-african-republic/
Caribbean Netherlands,country/caribbean-netherlands/
Cayman Islands,country/cayman-islands/
Chad,country/chad/
Channel Islands,country/channel-islands/
Chile,country/chile/
China,country/china/
Colombia,country/colombia/
Congo,country/congo/
Costa Rica,country/costa-rica/
Croatia,country/croatia/
Cuba,country/cuba/
Curaçao,country/curacao/
Cyprus,country/cyprus/
Czechia,country/czech-republic/
Denmark,country/denmark/
Djibouti,country/djibouti/
Dominica,country/dominica/
Dominican Republic,country/dominican-republic/
DRC,country/democratic-republic-of-the-congo/
Ecuador,country/ecuador/
Egypt,country/egypt/
El Salvador,country/el-salvador/
Equatorial Guinea,country/equatorial-guinea/
Eritrea,country/eritrea/
Estonia,country/estonia/
Eswatini,country/swaziland/
Ethiopia,country/ethiopia/
Faeroe Islands,country/faeroe-islands/
Falkland Islands,country/falkland-islands-malvinas/
Fiji,country/fiji/
Finland,country/finland/
France,country/france/
French Guiana,country/french-guiana/
French Polynesia,country/french-polynesia/
Gabon,country/gabon/
Gambia,country/gambia/
Georgia,country/georgia/
Germany,country/germany/
Ghana,country/ghana/
Gibraltar,country/gibraltar/
Greece,country/greece/
Greenland,country/greenland/
Grenada,country/grenada/
Guadeloupe,country/guadeloupe/
Guatemala,country/guatemala/
Guinea,country/guinea/
Guinea-Bissau,country/guinea-bissau/
Guyana,country/guyana/
Haiti,country/haiti/
Honduras,country/honduras/
Hong Kong,country/china-hong-kong-sar/
Hungary,country/hungary/
Iceland,country/iceland/
India,country/india/
Indonesia,country/indonesia/
Iran,country/iran/
Iraq,country/iraq/
Ireland,country/ireland/
Isle of Man,country/isle-of-man/
Israel,country/israel/
Italy,country/italy/
Ivory Coast,country/cote-d-ivoire/
Jamaica,country/jamaica/
Japan,country/japan/
Jordan,country/jordan/
Kazakhstan,country/kazakhstan/
Kenya,country/kenya/
Kuwait,country/kuwait/
Kyrgyzstan,country/kyrgyzstan/
Laos,country/laos/
Latvia,country/latvia/
Lebanon,country/lebanon/
Liberia,country/liberia/
Libya,country/libya/
Liechtenstein,country/liechtenstein/
Lithuania,country/lithuania/
Luxembourg,country/luxembourg/
Macao,country/china-macao-sar/
Madagascar,country/madagascar/
