country,full_name,url,capital,region,sub_region,area,population,lat,long,flag
Afghanistan,Afghanistan,country/afghanistan/,Kabul,Asia,Southern Asia,652230,27657145,33,65,https://restcountries.eu/data/afg.svg
Albania,Albania,country/albania/,Tirana,Europe,Southern Europe,28748,2886026,41,20,https://restcountries.eu/data/alb.svg
Algeria,Algeria,country/algeria/,Algiers,Africa,Northern Africa,2381741,40400000,28,3,https://restcountries.eu/data/dza.svg
Andorra,Andorra,country/andorra/,Andorra la Vella,Europe,Southern Europe,468,78014,42.5,1.5,https://restcountries.eu/data/and.svg
Angola,Angola,country/angola/,Luanda,Africa,Middle Africa,1246700,25868000,-12.5,18.5,https://restcountries.eu/data/ago.svg
Anguilla,Anguilla,country/anguilla/,The Valley,Americas,Caribbean,91,13452,18.25,-63.16666666,https://restcountries.eu/data/aia.svg
Antigua and Barbuda,Antigua and Barbuda,country/antigua-and-barbuda/,Saint John's,Americas,Caribbean,442,86295,17.05,-61.8,https://restcountries.eu/data/atg.svg
Argentina,Argentina,country/argentina/,Buenos Aires,Americas,South America,2780400,43590400,-34,-64,https://restcountries.eu/data/arg.svg
Armenia,Armenia,country/armenia/,Yerevan,Asia,Western Asia,29743,2994400,40,45,https://restcountries.eu/data/arm.svg
Aruba,Aruba,country/aruba/,Oranjestad,Americas,Caribbean,180,107394,12.5,-69.96666666,https://restcountries.eu/data/abw.svg
Australia,Australia,country/australia/,Canberra,Oceania,Australia and New Zealand,7692024,24117360,-27,133,https://restcountries.eu/data/aus.svg
Austria,Austria,country/austria/,Vienna,Europe,Western Europe,83871,8725931,47.33333333,13.33333333,https://restcountries.eu/data/aut.svg
Azerbaijan,Azerbaijan,country/azerbaijan/,Baku,Asia,Western Asia,86600,9730500,40.5,47.5,https://restcountries.eu/data/aze.svg
Bahamas,Bahamas,country/bahamas/,Nassau,Americas,Caribbean,13943,378040,24.25,-76,https://restcountries.eu/data/bhs.svg
Bahrain,Bahrain,country/bahrain/,Manama,Asia,Western Asia,765,1404900,26,50.55,https://restcountries.eu/data/bhr.svg
Bangladesh,Bangladesh,country/bangladesh/,Dhaka,Asia,Southern Asia,147570,161006790,24,90,https://restcountries.eu/data/bgd.svg
Barbados,Barbados,country/barbados/,Bridgetown,Americas,Caribbean,430,285000,13.16666666,-59.53333333,https://restcountries.eu/data/brb.svg
Belarus,Belarus,country/belarus/,Minsk,Europe,Eastern Europe,207600,9498700,53,28,https://restcountries.eu/data/blr.svg
Belgium,Belgium,country/belgium/,Brussels,Europe,Western Europe,30528,11515790,50.83333333,4,https://restcountries.eu/data/bel.svg
Belize,Belize,country/belize/,Belmopan,Americas,Central America,22966,370300,17.25,-88.75,https://restcountries.eu/data/blz.svg
Benin,Benin,country/benin/,Porto-Novo,Africa,Western Africa,112622,10653654,9.5,2.25,https://restcountries.eu/data/ben.svg
Bermuda,Bermuda,country/bermuda/,Hamilton,Americas,Northern America,54,61954,32.33333333,-64.75,https://restcountries.eu/data/bmu.svg
Bhutan,Bhutan,country/bhutan/,Thimphu,Asia,Southern Asia,38394,775620,27.5,90.5,https://restcountries.eu/data/btn.svg
Bolivia,Bolivia (Plurinational State of),country/bolivia/,Sucre,Americas,South America,1098581,10985059,-17,-65,https://restcountries.eu/data/bol.svg
Bosnia and Herzegovina,Bosnia and Herzegovina,country/bosnia-and-herzegovina/,Sarajevo,Europe,Southern Europe,51209,3531159,44,18,https://restcountries.eu/data/bih.svg
