row_index,country,date,total_cases,total_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,datestamp
1,USA,05/16/2020,1505033,89511,337994,1077528,16248,4585.17,272.70,11819151,36007.70,2020-05-16 18:00:04.7724000 -05:00
2,UK,05/16/2020,240161,34466,-1,-1,1559,3537.71,507.70,2489563,36672.70,2020-05-16 09:00:04.9171840 -05:00
3,Italy,05/16/2020,224760,31763,122810,70187,775,3726.31,526.60,2944859,48822.94,2020-05-16 12:00:07.1741750 -05:00
4,France,05/16/2020,179365,27625,61066,90674,2132,2674.06,411.85,1384633,20642.75,2020-05-16 17:00:05.6651680 -05:00
5,Spain,05/16/2020,276505,27563,192253,56689,1208,5882.16,586.35,3037840,64624.76,2020-05-16 09:00:04.9171840 -05:00
6,Brazil,05/16/2020,233142,15633,89672,127837,8318,1109.42,74.39,735224,3498.62,2020-05-16 18:00:04.7724000 -05:00
7,Belgium,05/16/2020,54989,9005,14460,31524,364,4775.10,781.97,663755,57638.69,2020-05-16 05:00:04.8064270 -05:00
8,Germany,05/16/2020,176247,8027,152600,15620,1203,2119.65,96.54,3147771,37856.86,2020-05-16 18:00:04.7724000 -05:00
9,Iran,05/16/2020,118392,6937,93147,18308,2716,1423.26,83.39,672679,8086.66,2020-05-16 06:00:04.8819080 -05:00
10,Canada,05/16/2020,75864,5679,37819,32366,502,1995.68,149.39,1265502,33290.26,2020-05-16 18:00:04.7724000 -05:00
11,Netherlands,05/16/2020,43870,5670,-1,-1,346,2517.65,325.39,287943,16524.73,2020-05-16 09:39:00.0711840 -05:00
12,Mexico,05/16/2020,45032,4767,30451,9814,378,350.04,37.05,163691,1272.38,2020-05-15 21:00:06.6747910 -05:00
13,China,05/16/2020,82941,4633,78219,89,11,58.10,3.25,0,0.00,2020-05-15 21:00:06.7060420 -05:00
14,Turkey,05/16/2020,148067,4096,108137,35834,906,1880.43,52.02,1589625,20188.01,2020-05-16 13:00:06.3589060 -05:00
15,Sweden,05/16/2020,29677,3674,4971,21032,278,2999.23,371.30,177500,17938.56,2020-05-16 09:00:04.9171840 -05:00
16,India,05/16/2020,90648,2871,34224,53553,0,66.07,2.09,2134277,1555.52,2020-05-16 15:00:04.8794330 -05:00
17,Ecuador,05/16/2020,32763,2688,3433,26642,197,1980.14,162.46,93344,5641.55,2020-05-16 15:00:04.8794330 -05:00
18,Russia,05/16/2020,272043,2537,63166,206340,2300,1855.69,17.31,6656340,45405.03,2020-05-16 06:00:04.8819080 -05:00
19,Peru,05/16/2020,88541,2523,28272,57746,840,2811.83,80.12,630482,20022.48,2020-05-16 15:00:04.8794330 -05:00
20,Switzerland,05/16/2020,30572,1879,27400,1293,69,3665.00,225.26,339364,40683.32,2020-05-16 15:00:04.8794330 -05:00
21,Ireland,05/16/2020,24048,1533,19470,3045,69,3770.46,240.36,258808,40578.24,2020-05-16 13:00:06.3589060 -05:00
22,Portugal,05/16/2020,28810,1203,3822,23785,115,2776.92,115.95,600061,57838.20,2020-05-16 08:00:05.4375540 -05:00
23,Romania,05/16/2020,16704,1094,9574,6036,206,841.03,55.08,303734,15292.67,2020-05-16 12:00:07.1791740 -05:00
24,Indonesia,05/16/2020,17025,1089,3911,12025,0,65.81,4.21,182818,706.67,2020-05-16 06:00:04.8819080 -05:00
25,Poland,05/16/2020,18257,915,7175,10167,160,474.98,23.81,601394,15646.13,2020-05-16 12:00:07.1791740 -05:00
26,Pakistan,05/16/2020,38799,834,10880,27085,111,199.87,4.30,359264,1850.68,2020-05-15 21:00:06.6747910 -05:00
27,Philippines,05/16/2020,12305,817,2561,8927,79,119.14,7.91,215060,2082.30,2020-05-16 07:00:04.7600490 -05:00
28,Japan,05/16/2020,16203,713,10338,5152,245,127.62,5.62,233144,1836.36,2020-05-15 19:00:06.7538420 -05:00
29,Austria,05/16/2020,16201,629,14524,1048,50,1856.65,72.08,357393,40957.58,2020-05-16 09:00:04.9171840 -05:00
