country,total_cases,total_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date,perc_deaths,perc_infection,row_index,region,subregion,diff_total_cases,diff_total_deaths,diff_active_cases
China,571,17,0,554,0,0.40,0.01,0,0.00,01/22/2020,2.98,0.00,1,Asia,Eastern Asia,0,0,0
China,830,25,0,771,0,0.58,0.02,0,0.00,01/23/2020,3.01,0.00,1,Asia,Eastern Asia,259,8,217
China,1287,41,0,1208,0,0.90,0.03,0,0.00,01/24/2020,3.19,0.00,1,Asia,Eastern Asia,457,16,437
China,1975,56,0,1870,0,1.38,0.04,0,0.00,01/25/2020,2.84,0.00,1,Asia,Eastern Asia,688,15,662
China,2744,80,0,2613,0,1.92,0.06,0,0.00,01/26/2020,2.92,0.00,1,Asia,Eastern Asia,769,24,743
China,4515,106,0,4349,0,3.16,0.07,0,0.00,01/27/2020,2.35,0.00,1,Asia,Eastern Asia,1771,26,1736
China,5974,132,0,5739,0,4.18,0.09,0,0.00,01/28/2020,2.21,0.00,1,Asia,Eastern Asia,1459,26,1390
China,7711,170,0,7417,0,5.40,0.12,0,0.00,01/29/2020,2.20,0.00,1,Asia,Eastern Asia,1737,38,1678
China,9692,213,0,9308,0,6.79,0.15,0,0.00,01/30/2020,2.20,0.00,1,Asia,Eastern Asia,1981,43,1891
China,11791,259,0,11289,0,8.26,0.18,0,0.00,01/31/2020,2.20,0.00,1,Asia,Eastern Asia,2099,46,1981
China,14380,304,0,13748,0,10.07,0.21,0,0.00,02/01/2020,2.11,0.00,1,Asia,Eastern Asia,2589,45,2459
China,17205,361,0,16369,0,12.05,0.25,0,0.00,02/02/2020,2.10,0.00,1,Asia,Eastern Asia,2825,57,2621
China,20440,425,0,19383,0,14.32,0.30,0,0.00,02/03/2020,2.08,0.00,1,Asia,Eastern Asia,3235,64,3014
China,24324,490,0,22942,0,17.04,0.34,0,0.00,02/04/2020,2.01,0.00,1,Asia,Eastern Asia,3884,65,3559
China,28018,563,0,26302,0,19.63,0.39,0,0.00,02/05/2020,2.01,0.00,1,Asia,Eastern Asia,3694,73,3360
